trygder,stønad|248.0,redusert|50.0,formål|1.0,correct
forskning,post|455.0,inntekter|292.0,formål|255.0,spesielle|166.0,redusert|105.0,utgifter|91.0,incorrect
familie,barns|182.0,far|140.0,utgifter|112.0,correct
funksjonshemmede,mv|181.0,driftsutgifter|130.0,post|130.0,statsbudsjettet|130.0,refusjon|105.0,utgifter|65.0,correct
sjøfart,redusert|152.0,endringar|105.0,statsbudsjettet|105.0,formål|63.0,incorrect
helsepersonell,redusert|48.0,incorrect
lønn og inntekt,,incorrect
sosiale tjenester,sosiale|343.0,stønad|160.0,formål|90.0,correct
sykdommer,driftsutgifter|99.0,medisinsk|77.0,alderdom|55.0,mor|55.0,refusjon|36.0,incorrect
